# Local branches/worktrees compact index
Generated: 2026-07-22T23:08:54+04:00
Repo: /home/sjors/dev/astro-plan
Branches total: 515 | Attached: 12 | Orphaned: 503
Detached worktree snapshots: 3
Worktrees total: 15 | Attached: 12 | Detached: 3

## 1) Branches
idx | state | branch | upstream | status | file_count | sample_changed_paths
171 | orphaned | feat-source-view-materialization-toast | origin/feat-source-view-materialization-toast | (none) | 0 | (none)
172 | orphaned | feat/056-autotick-l1-tests | origin/feat/056-backend-foundation | [ahead 1] | 1 | crates/app/core/tests/onboarding_seed_integration.rs
173 | orphaned | feat/056-backend-foundation | origin/feat/056-backend-foundation | (none) | 0 | (none)
174 | orphaned | feat/056-commands-platform | origin/feat/056-backend-foundation | [ahead 2] | 8 | apps/desktop/messages/en.json, apps/desktop/src-tauri/src/commands/mod.rs, apps/desktop/src-tauri/src/commands/onboarding.rs
175 | orphaned | feat/056-find-anchors | origin/feat/056-find-anchors | (none) | 0 | (none)
176 | orphaned | feat/056-legacy-deletion | origin/feat/056-commands-platform | [ahead 1] | 57 | apps/desktop/messages/en.json, apps/desktop/src-tauri/src/commands/guided.rs, apps/desktop/src-tauri/src/commands/mod.rs
177 | orphaned | feat/056-onboarding-redesign | origin/feat/056-onboarding-redesign | [behind 70] | 205 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
178 | orphaned | feat/056-stories-integrated | origin/feat/056-legacy-deletion | [ahead 4] | 23 | apps/desktop/src/app/Shell.tsx, apps/desktop/src/app/Sidebar.tsx, apps/desktop/src/features/onboarding/ChecklistPopover.tsx
179 | orphaned | feat/056-story-behaviors |  | (none) | n/a | (no upstream)
180 | orphaned | feat/056-story-checklist | origin/feat/056-legacy-deletion | [ahead 1] | 5 | apps/desktop/src/app/Sidebar.tsx, apps/desktop/src/features/onboarding/ChecklistPopover.tsx, apps/desktop/src/features/onboarding/ChecklistSection.tsx
181 | orphaned | feat/056-story-orientation | origin/feat/056-legacy-deletion | [ahead 2] | 18 | apps/desktop/src/app/Shell.tsx, apps/desktop/src/features/onboarding/OrientationWalk.tsx, apps/desktop/src/features/onboarding/orientationSteps.ts
182 | orphaned | feat/056-t022-subscriber-it | origin/feat/056-commands-platform | [ahead 1] | 2 | apps/desktop/src-tauri/src/commands/onboarding.rs, apps/desktop/src-tauri/tests/onboarding_subscriber_integration.rs
183 | orphaned | feat/062-immutable-session-repository | origin/main | (none) | 0 | (none)
184 | orphaned | feat/062-immutable-session-repository-luna | origin/main | (none) | 0 | (none)
185 | orphaned | feat/1143-brand-assets-gaps | origin/feat/1143-brand-assets-gaps | (none) | 0 | (none)
186 | orphaned | feat/491-observing-site-map-picker | origin/feat/491-observing-site-map-picker | (none) | 0 | (none)
187 | orphaned | feat/712-confirm-provenance | origin/feat/712-confirm-provenance | (none) | 0 | (none)
188 | orphaned | feat/878-ingestion-settings-consumer | origin/feat/878-ingestion-settings-consumer | [behind 31] | 153 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
